#seq_name	length	coverage
contig_1552	2296	67
contig_1592	761	29
contig_1526	21450	26
contig_1535	42584	4
contig_1594	16785	1
contig_1610	1383	0
contig_1602	4627	3
contig_1586	13394	12
contig_1588	20789	3
contig_1612	4526	3
contig_1613	3888	3
contig_1603	5547	15
contig_1599	18131	6
contig_1598	19729	8
contig_1595	17239	14
contig_1576	10102	33
contig_1627	24149	2
contig_1632	11396	1
contig_1636	3824	5
contig_1638	3979	4
contig_1625	32215	6
contig_1617	42505	5
contig_1515	38661	20
contig_1614	45442	7
contig_1510	32368	37
contig_1641	33798	3
contig_1652	14250	2
contig_1490	36826	34
contig_1596	15912	37
contig_1674	2335	1
contig_1661	249	0
contig_1643	32558	8
contig_1675	1388	1
contig_1544	44302	21
contig_1503	39756	39
contig_1682	3356	3
contig_1628	24503	21
contig_1683	2407	1
contig_1631	21683	24
contig_1696	2281	9
contig_1655	13081	22
contig_1692	25530	5
contig_1703	10669	3
contig_1642	27157	27
contig_1653	18905	26
contig_1710	6265	1
contig_1690	7918	41
contig_1644	30749	23
contig_1711	15480	1
contig_1701	25964	5
contig_1611	24252	40
contig_1715	3220	2
contig_1626	35129	28
contig_1585	35141	42
contig_1697	36909	6
contig_1517	43275	42
contig_1704	14247	14
contig_1687	4126	97
contig_1721	9151	1
contig_1718	21504	6
contig_1726	10208	2
contig_1541	41586	42
contig_1709	13332	24
contig_1724	16780	2
contig_1722	12369	9
contig_1693	24612	24
contig_1729	5087	6
contig_1712	14981	16
contig_1702	23436	20
contig_1616	42790	34
contig_1731	1402	0
contig_1719	20463	13
contig_1723	18785	23
contig_1534	49964	36
contig_1740	3639	16
contig_1748	1187	0
contig_1749	3967	2
contig_1745	4611	5
contig_1750	3171	5
contig_1738	30621	4
contig_1751	675	6
contig_1673	38237	32
contig_1730	17218	21
contig_1747	7939	16
contig_1742	26335	10
contig_1756	1422	0
contig_1755	2503	2
contig_1727	16531	35
contig_1758	8789	1
contig_1732	13058	35
contig_1765	1704	1
contig_1743	29170	6
contig_1771	6405	1
contig_1698	33267	41
contig_1761	13153	12
contig_1772	9462	8
contig_1768	26296	1
contig_1778	4480	20
contig_1782	2023	61
contig_1763	30235	4
contig_1753	8787	49
contig_1752	16062	25
contig_1800	12603	1
contig_1759	17033	21
contig_1737	38050	24
contig_1815	696	0
contig_1776	12136	35
contig_1811	13028	9
contig_1816	9263	12
contig_1808	4035	62
contig_1804	10060	29
contig_1795	17315	23
contig_1824	4317	8
contig_1783	1872	304
contig_1802	20807	26
contig_1762	32013	30
contig_1769	31734	28
contig_1790	26045	33
contig_1788	27750	34
contig_1846	6282	2
contig_1842	6603	39
contig_1779	28365	34
contig_1830	24545	23
contig_1822	27876	28
contig_1767	32346	38
contig_1851	12671	1
contig_1831	21167	33
contig_1734	43747	47
contig_1798	28435	42
contig_1829	30885	36
contig_1821	32592	34
contig_1801	37303	40
contig_1860	17039	16
contig_1805	38459	39
contig_1839	35109	37
contig_1845	33517	30
contig_1858	20438	30
contig_1797	40912	47
contig_1848	27247	29
contig_1856	25759	30
contig_1792	43522	51
contig_1859	24458	26
contig_1850	28369	35
contig_1857	27746	37
contig_1869	46225	6
contig_1849	29917	45
contig_1820	47870	47
contig_1866	24289	49
contig_1852	41248	35
contig_1844	36608	50
contig_1868	30587	32
contig_1841	43009	57
contig_1874	37960	50
contig_1873	42178	42
contig_1867	44445	53
contig_1814	46645	102
contig_290	2443	376463
contig_289	552	376060
